,Финансовый показатель,2017,2016,2015
0,Капитал и резервы (собственный капитал),112120,35026,35494
1,Внеоборотные активы (за исключением финансовых вложений),473701,439413,406911
2,Собственные оборотные средства (1-2),-361581,-404387,-371417
3,Долгосрочные кредиты,290584,305895,331917
4,Наличие собственных и долгосрочных источников (3+4),-70997,-98492,-39500
5,Краткосрочные кредиты,88710,63454,64044
6,Наличие основных источников (5+6),17713,-35038,24544
7,Запасы,376,505,758
8,Излишек (+) или дефицит (-) собственных оборотных средств для формирования запасов ∆СОС (3-8),-361957,-404892,-372175
9,Излишек (+) или дефицит (-) собственных и долгосрочных источников для формирования запасов ∆СДИ (5-8),-71373,-98997,-40258
10,Излишек (+) или дефицит (-) основных источников для формирования запасов ∆ОИ (7-8),17337,-35543,23786
11,Трехкомпонентный показатель типа финансовой устойчивости,1,0,1
